class, main_axis, max_defect, min_defect, area_ratio
3, 120.416, 11694, 114, 0.38456627563642165
3, 7.616, 20349, 154, 71.82191780821918
3, 7.616, 18564, 114, 76.31746031746032
3, 9.22, 15012, 114, 65.64423076923077
3, 9.22, 17940, 162, 69.67777777777778
3, 105.688, 10969, 162, 0.37996777658431796
3, 112.641, 11125, 114, 0.38564745343807927
3, 8.544, 21720, 154, 69.18823529411765
3, 131.609, 14044, 229, 0.3857730619315721
3, 8.544, 20915, 142, 69.16455696202532
3, 9.22, 24957, 154, 70.77894736842106
3, 7.28, 22672, 114, 74.79032258064517
3, 8.246, 13738, 149, 76.51315789473684
3, 8.062, 22016, 114, 73.08108108108108
3, 10.198, 25094, 114, 65.48305084745763
3, 116.726, 11671, 114, 0.3873149202733485
3, 7.28, 23285, 234, 82.57142857142857
3, 8.544, 22066, 114, 71.07777777777778
3, 7.071, 19430, 114, 73.54385964912281
3, 9.055, 14225, 14225, 67.61627906976744
3, 109.713, 11608, 114, 0.38457225248317845
3, 6.325, 12032, 285, 80.62745098039215
3, 8.544, 14192, 154, 74.37037037037037
3, 8.062, 20618, 114, 77.46478873239437
3, 7.616, 13771, 154, 75.28767123287672
3, 111.198, 11118, 114, 0.384140061791967
3, 143.684, 12852, 226, 0.38563214592558326
3, 119.57, 13314, 114, 0.3811700182815356
3, 9.055, 24778, 142, 72.36904761904762
3, 7.28, 19545, 114, 74.41269841269842
3, 8.062, 13600, 114, 72.87012987012987
3, 114.756, 12775, 114, 0.387012012012012
3, 7.28, 20870, 114, 71.57352941176471
3, 8.246, 14257, 142, 67.64197530864197
3, 8.944, 18941, 160, 74.29069767441861
3, 9.434, 25910, 114, 67.66666666666667
3, 7.0, 18527, 162, 86.70212765957447
3, 6.708, 12182, 124, 77.84210526315789
3, 105.603, 10767, 114, 0.38368800803726366
3, 8.246, 22436, 186, 78.0875
3, 9.22, 22581, 114, 67.9795918367347
3, 9.055, 17231, 210, 73.06593406593407
3, 8.246, 15088, 114, 74.12162162162163
3, 111.364, 11766, 114, 0.38429937257245295
3, 7.616, 24199, 160, 69.64383561643835
3, 9.22, 14061, 186, 73.31111111111112
3, 7.616, 13702, 142, 74.15714285714286
3, 6.325, 13818, 237, 86.16326530612245
3, 7.28, 12590, 114, 71.390625
3, 8.062, 14293, 142, 75.46376811594203
3, 7.071, 20735, 114, 76.0
3, 10.198, 29687, 29687, 69.38888888888889
3, 8.062, 17020, 201, 77.61428571428571
3, 118.697, 12185, 114, 0.38407687028140014
3, 8.062, 13853, 142, 73.2089552238806
3, 8.944, 14994, 160, 70.08888888888889
3, 136.213, 14117, 114, 0.3848126970555229
3, 9.055, 24438, 114, 79.13698630136986
3, 8.062, 12617, 160, 79.421875
3, 10.44, 28025, 114, 63.58461538461538
3, 8.544, 26152, 132, 72.7764705882353
3, 8.062, 24774, 142, 71.24
3, 6.325, 17378, 164, 77.6078431372549
3, 8.544, 16019, 173, 68.0111111111111
3, 9.055, 21784, 114, 70.2235294117647
3, 8.544, 15584, 114, 67.42045454545455
